"CDD Niteroi","GEO RJ/ES","98.489","ROTA","724","2019-02-01 00:00:00","TOTAL"
"CDD Pavuna","GEO RJ/ES","56.273","ROTA","958","2019-02-01 00:00:00","TOTAL"
"CDD Petropolis","GEO RJ/ES","37.096","ROTA","86","2019-02-01 00:00:00","TOTAL"
"CDD S.Cristovao","GEO RJ/ES","85.102","ROTA","575","2019-02-01 00:00:00","TOTAL"
"CDD Vitória","GEO RJ/ES","68.621","ROTA","438","2019-02-01 00:00:00","TOTAL"
"CDD VR","GEO RJ/ES","41.403","ROTA","81","2019-02-01 00:00:00","TOTAL"
"CDL Itaperuna","GEO RJ/ES","19.818","ROTA","495","2019-02-01 00:00:00","TOTAL"
"CRBS CDDNIguacu","GEO RJ/ES","53.496","ROTA","61","2019-02-01 00:00:00","TOTAL"
"CD Bebedouro","GEO SP","31.660","ROTA","83","2019-02-01 00:00:00","TOTAL"
"CD F. Agudos","GEO SP","24.823","ROTA","902","2019-02-01 00:00:00","TOTAL"
"CDD Aracatuba","GEO SP","30.906","ROTA","811","2019-02-01 00:00:00","TOTAL"
"CDD Araraquara","GEO SP","30.028","ROTA","763","2019-02-01 00:00:00","TOTAL"
"CDD Barueri","GEO SP","48.259","ROTA","303","2019-02-01 00:00:00","TOTAL"
"CDD Campinas","GEO SP","94.325","ROTA","230","2019-02-01 00:00:00","TOTAL"
"CDD Diadema","GEO SP","65.579","ROTA","216","2019-02-01 00:00:00","TOTAL"
"CDD EMBU","GEO SP","51.314","ROTA","970","2019-02-01 00:00:00","TOTAL"
"CDD Guarulhos","GEO SP","43.119","ROTA","764","2019-02-01 00:00:00","TOTAL"
"CDD Jau","GEO SP","22.778","ROTA","977","2019-02-01 00:00:00","TOTAL"
"CDD Jundiai","GEO SP","27.034","ROTA","231","2019-02-01 00:00:00","TOTAL"
"CDD LITORAL","GEO SP","19.264","ROTA","137","2019-02-01 00:00:00","TOTAL"
"CDD Maua","GEO SP","44.058","ROTA","301","2019-02-01 00:00:00","TOTAL"
"CDD Mooca","GEO SP","159.928","ROTA","204","2019-02-01 00:00:00","TOTAL"
"CDD Norte","GEO SP","37.930","ROTA","771","2019-02-01 00:00:00","TOTAL"
"CDD P Prudente","GEO SP","31.362","ROTA","543","2019-02-01 00:00:00","TOTAL"
"CDD PraiaGrande","GEO SP","24.762","ROTA","578","2019-02-01 00:00:00","TOTAL"
"CDD Rib. Preto","GEO SP","69.865","ROTA","956","2019-02-01 00:00:00","TOTAL"
"CDD S J Campos","GEO SP","25.002","ROTA","966","2019-02-01 00:00:00","TOTAL"
"CDD Sul SP","GEO SP","- 0","ROTA","","2019-02-01 00:00:00","TOTAL"
"CDD Suzano","GEO SP","38.949","ROTA","297","2019-02-01 00:00:00","TOTAL"
"CDD Votorantin","GEO SP","28.524","ROTA","242","2019-02-01 00:00:00","TOTAL"
"CDL Taubate","GEO SP","14.079","ROTA","968","2019-02-01 00:00:00","TOTAL"
"CRBS CDDMMirim","GEO SP","41.149","ROTA","944","2019-02-01 00:00:00","TOTAL"
"CD Curitiba","GEO SUL","75.119","ROTA","619","2019-02-01 00:00:00","TOTAL"
"CD Porto Aleg","GEO SUL","80.960","ROTA","713","2019-02-01 00:00:00","TOTAL"
"CDD Beltrao","GEO SUL","42.957","ROTA","143","2019-02-01 00:00:00","TOTAL"
"CDD Caxias","GEO SUL","13.120","ROTA","129","2019-02-01 00:00:00","TOTAL"
"CDD Florianop.","GEO SUL","45.703","ROTA","50","2019-02-01 00:00:00","TOTAL"
"CDD Foz do Igua","GEO SUL","- 0","ROTA","","2019-02-01 00:00:00","TOTAL"
"CDD Londrina","GEO SUL","52.565","ROTA","112","2019-02-01 00:00:00","TOTAL"
"CDD Pelotas","GEO SUL","21.608","ROTA","118","2019-02-01 00:00:00","TOTAL"
"CDD PontaGrossa","GEO SUL","31.211","ROTA","975","2019-02-01 00:00:00","TOTAL"
"CDD S J Pinhais","GEO SUL","24.329","ROTA","209","2019-02-01 00:00:00","TOTAL"
"CDD Sapucaia","GEO SUL","60.937","ROTA","54","2019-02-01 00:00:00","TOTAL"
"CDDStaCruzdoSul","GEO SUL","20.254","ROTA","418","2019-02-01 00:00:00","TOTAL"
"CDDStaMaria","GEO SUL","15.651","ROTA","190","2019-02-01 00:00:00","TOTAL"
